3.44,2,0,0,0,0
2.98,5,2,1.3333333333,3,-0.4526315789
3.06,4,1,1,1,-0.25
3.16,2,2,1.1428571429,0,0
2.18,2,0,0,4,-2
3.97,5,1,1,0,0
4.55,1,0,0,0,0
2.3,0,0,0,0,0
4.37,0,0,0,5,-4.0476190476
2.96,2,0,0,1,-0.1111111111
1.06,0,2,1.2777777778,3,-1.2650793651
4.18,2,0,0,1,-1
1.35,0,0,0,0,0
1.93,0,2,0.8333333333,4,-2.0148061105
3.73,0,0,0,0,0
3.73,3,0,0,1,-1
4.17,4,5,2.4285714286,3,-2
0.91,0,1,0.0769230769,2,-0.5841269841
1.48,4,0,0,0,0
0.97,0,1,0.6666666667,0,0
2.04,5,4,1.1578947368,2,-0.08
2.98,2,2,1.1111111111,1,-0.0243902439
2.47,3,1,1,0,0
3,4,3,2.3333333333,0,0
2.03,0,0,0,4,-2.0666666667
2.94,4,2,1.3333333333,0,0
0.89,0,1,0.5,0,0
2.39,4,1,1,2,-0.8926553672
3.5,5,0,0,2,-0.6
3.97,5,2,2,1,-0.1481481481
1.05,3,0,0,0,0
0.96,0,0,0,1,0
2.73,2,0,0,0,0
4.2,1,2,1.5,3,-0.4148061105
4.74,3,1,1,0,0
4.13,3,0,0,1,-0.2
5.9,6,1,1,5,-3.3177083333
2.68,0,1,0.5555555556,1,-1
2.83,4,1,1,0,0
3.23,5,5,3.9649791691,0,0
1.38,0,1,0.0892857143,0,0
3.07,1,2,0.4074074074,5,-1.8717948718
2.34,3,1,1,3,-1.7878787879
2.83,2,0,0,1,0
2.83,2,4,3.1111111111,1,-1
3.27,4,3,2.5,0,0
2.67,2,2,2,1,-0.3333333333
2.63,2,1,1,1,-0.2903225806
0.18,0,2,0.8333333333,0,0
1.91,0,0,0,1,-1
2.95,3,2,0.8172043011,0,0
2.39,4,0,0,2,-1.4
1.67,2,2,0.2689655172,2,-0.6346153846
1.65,2,0,0,1,0
1.95,2,4,0.466442577,1,-0.3333333333
4.21,0,0,0,1,-0.52
2.88,2,2,1.25,3,-2.2
3.07,4,1,0.2,2,-1.0666666667
5.26,4,1,1,0,0
3.97,5,2,0.7961079169,0,0
3.88,2,2,1.3333333333,2,-1.5
0.62,0,2,0.5833333333,0,0
5.2,6,2,0.6666666667,1,-0.1428571429
1.88,0,0,0,4,-2.6726190476
3.39,4,2,1.4042553191,2,-1.0549450549
1.61,3,1,0.3333333333,2,-2
1.97,2,2,1.3333333333,0,0
4.33,0,0,0,0,0
6.06,1,0,0,2,-0.9597069597
1.67,0,1,1,0,0
3,5,3,2,0,0
3.89,5,1,1,2,-0.0666666667
3.05,2,0,0,2,-1.25
4.41,5,0,0,0,0
2.91,0,0,0,3,-0.3851851852
1.83,3,2,1.5,0,0
1.65,2,1,0.8,1,-0.5
