123,121,123,0.983739837398374,1.0,1.0,1.0,0,0.0,123,0,937.1488677031373
80,78,80,0.975,1.0,1.0,1.0,0,0.0,80,0,752.6044264640226
100,98,100,0.98,1.0,1.0,1.0,0,0.0,100,0,533.5566094037398
129,127,129,0.9844961240310077,1.0,1.0,1.0,0,0.0,129,0,752.268142729981
26,24,26,0.9230769230769231,1.0,1.0,1.0,0,0.0,26,0,654.3913058501169
51,49,51,0.9607843137254902,1.0,1.0,1.0,0,0.0,51,0,760.7816911168745
124,122,124,0.9838709677419355,1.0,1.0,1.0,0,0.0,124,0,1850.2187746540937
83,81,83,0.9759036144578314,1.0,1.0,1.0,0,0.0,83,0,1167.6056253092036
34,32,34,0.9411764705882353,1.0,1.0,1.0,0,0.0,34,0,587.7664255085047
44,42,44,0.9545454545454546,1.0,1.0,1.0,0,0.0,44,0,668.7547470072702
106,104,106,0.9811320754716981,1.0,1.0,1.0,0,0.0,106,0,579.6833066401276
52,50,52,0.9615384615384616,1.0,1.0,1.0,0,0.0,52,0,575.5979051960411
66,64,66,0.9696969696969697,1.0,1.0,1.0,0,0.0,66,0,768.9866125801891
42,40,42,0.9523809523809523,1.0,1.0,1.0,0,0.0,42,0,348.8977785950978
85,83,85,0.9764705882352941,1.0,1.0,1.0,0,0.0,85,0,721.5082427699305
85,83,85,0.9764705882352941,1.0,1.0,1.0,0,0.0,85,0,644.4504037307943
84,82,84,0.9761904761904762,1.0,1.0,1.0,0,0.0,84,0,1192.89879822797
127,125,127,0.984251968503937,1.0,1.0,1.0,0,0.0,127,0,1315.9894959368644
114,112,114,0.9824561403508771,1.0,1.0,1.0,0,0.0,114,0,1279.116271226794
91,89,91,0.978021978021978,1.0,1.0,1.0,0,0.0,91,0,942.4291899601924
32,30,32,0.9375,1.0,1.0,1.0,0,0.0,32,0,606.7129331458995
34,32,34,0.9411764705882353,1.0,1.0,1.0,0,0.0,34,0,710.2980439407353
133,131,133,0.9849624060150376,1.0,1.0,1.0,0,0.0,133,0,1195.3045983146405
119,117,119,0.9831932773109243,1.0,1.0,1.0,0,0.0,119,0,973.7625179385174
14,12,14,0.8571428571428571,1.0,1.0,1.0,0,0.0,14,0,1219.4077229159614
96,94,96,0.9791666666666666,1.0,1.0,1.0,0,0.0,96,0,872.5830684650847
96,94,96,0.9791666666666666,1.0,1.0,1.0,0,0.0,96,0,991.3925033953358
60,58,60,0.9666666666666667,1.0,1.0,1.0,0,0.0,60,0,746.9885697911866
67,65,67,0.9701492537313433,1.0,1.0,1.0,0,0.0,67,0,1220.8170385359754
45,43,45,0.9555555555555556,1.0,1.0,1.0,0,0.0,45,0,448.9970717434742
